n,r,m,eps,tau_star,theta,kappa,error_inf,error_star,W_N^M
17,33,131073,1.,4.,0.5,256.,0.00123438,0.00186736,0.981526
33,65,131073,1.,4.,0.5,256.,0.000451576,0.000632972,0.981527
65,129,131073,1.,4.,0.5,256.,0.000134403,0.000181396,0.981528
129,257,131073,1.,4.,0.5,256.,3.56538e-05,4.69933e-05,0.981528
257,513,131073,1.,4.,0.5,256.,9.06375e-06,1.13395e-05,0.981528
513,1025,131073,1.,4.,0.5,256.,2.27574e-06,2.27574e-06,0.981528
