n,m,eps,tau_star,theta,error_inf,omega,W_N^M,isoparam0
513,33,0.125,2.,0.5,0.175514,0.000336114,1.1365,0.
513,65,0.125,2.,0.5,0.0412962,0.000261383,1.00228,0.
513,129,0.125,2.,0.5,0.01017,0.000315698,0.971158,0.
513,257,0.125,2.,0.5,0.00253283,0.000328721,0.96352,0.
513,513,0.125,2.,0.5,0.000632453,0.000331943,0.96162,0.
