n,m,r,eps,tau_star,theta,kappa,error_inf,error_star,W_N^M
8193,9,17,1.,8.,0.5,-0.8,0.0592061,0.0766702,1.05617
8193,17,33,1.,8.,0.5,-0.8,0.0132013,0.0174641,0.996964
8193,33,65,1.,8.,0.5,-0.8,0.00321511,0.00426282,0.983763
8193,65,129,1.,8.,0.5,-0.8,0.000798659,0.00104771,0.980548
8193,129,257,1.,8.,0.5,-0.8,0.000199128,0.000249053,0.979749
8193,257,513,1.,8.,0.5,-0.8,4.99249e-05,4.99249e-05,0.97955
