n,m,eps,tau_star,theta,error_inf,omega,W_N^M,isoparam0
129,9,0.5,2.,0.5,0.0360191,0.00167731,0.887955,0.
129,17,0.5,2.,0.5,0.00888938,0.00184745,0.860826,0.
129,33,0.5,2.,0.5,0.00221591,0.00188821,0.854152,0.
129,65,0.5,2.,0.5,0.000554293,0.00189829,0.852491,0.
129,129,0.5,2.,0.5,0.000139311,0.00190081,0.852076,0.
