n,r,m,eps,tau_star,theta,kappa,error_inf,error_star,W_N^M
5,9,262145,1.,8.,0.5,-0.4,0.003021,0.00400835,0.994866
9,17,262145,1.,8.,0.5,-0.4,0.000742103,0.000987403,0.994914
17,33,262145,1.,8.,0.5,-0.4,0.000185452,0.000246237,0.994925
33,65,262145,1.,8.,0.5,-0.4,4.63156e-05,6.07853e-05,0.994928
65,129,262145,1.,8.,0.5,-0.4,1.15759e-05,1.44697e-05,0.994929
129,257,262145,1.,8.,0.5,-0.4,2.8938e-06,2.8938e-06,0.994929
