n,m,r,eps,tau_star,theta,kappa,error_inf,error_star,W_N^M
8193,9,17,1.,4.,0.5,64.,0.0152253,0.020311,1.0014
8193,17,33,1.,4.,0.5,64.,0.00381766,0.00508571,0.98617
8193,33,65,1.,4.,0.5,64.,0.000954778,0.00126805,0.982352
8193,65,129,1.,4.,0.5,64.,0.000238687,0.000313275,0.981398
8193,129,257,1.,4.,0.5,64.,5.96702e-05,7.45876e-05,0.981159
8193,257,513,1.,4.,0.5,64.,1.49174e-05,1.49174e-05,0.981099
