n,r,m,eps,tau_star,theta,kappa,error_inf,error_star,W_N^M
5,9,131073,1.,4.,0.5,0.,0.00144931,0.00192866,0.952841
9,17,131073,1.,4.,0.5,0.,0.000360019,0.000479355,0.952788
17,33,131073,1.,4.,0.5,0.,8.98619e-05,0.000119335,0.952775
33,65,131073,1.,4.,0.5,0.,2.24565e-05,2.94735e-05,0.952771
65,129,131073,1.,4.,0.5,0.,5.61358e-06,7.01694e-06,0.952771
129,257,131073,1.,4.,0.5,0.,1.40336e-06,1.40336e-06,0.95277
