n,m,r,eps,tau_star,theta,kappa,error_inf,error_star,W_N^M
8193,9,17,1.,8.,0.5,-0.4,0.0658852,0.0866656,1.08161
8193,17,33,1.,8.,0.5,-0.4,0.0156509,0.0207803,1.01573
8193,33,65,1.,8.,0.5,-0.4,0.00386524,0.00512947,1.00008
8193,65,129,1.,8.,0.5,-0.4,0.000963398,0.00126423,0.996214
8193,129,257,1.,8.,0.5,-0.4,0.000240671,0.00030083,0.99525
8193,257,513,1.,8.,0.5,-0.4,6.01586e-05,6.01586e-05,0.99501
