n,r,m,eps,tau_star,theta,kappa,error_inf,error_star,W_N^M
5,9,131073,1.,4.,0.5,1.,0.000289935,0.000385501,0.965464
9,17,131073,1.,4.,0.5,1.,7.17917e-05,9.55663e-05,0.965519
17,33,131073,1.,4.,0.5,1.,1.79038e-05,2.37747e-05,0.965532
33,65,131073,1.,4.,0.5,1.,4.47319e-06,5.87083e-06,0.965536
65,129,131073,1.,4.,0.5,1.,1.11812e-06,1.39764e-06,0.965537
129,257,131073,1.,4.,0.5,1.,2.79583e-07,2.79583e-07,0.965537
