n,r,m,eps,tau_star,theta,kappa,error_inf,error_star,W_N^M
17,33,131073,1.,4.,0.5,8.,0.00020733,0.000276552,0.977638
33,65,131073,1.,4.,0.5,8.,5.19584e-05,6.92213e-05,0.97764
65,129,131073,1.,4.,0.5,8.,1.29974e-05,1.72629e-05,0.977641
129,257,131073,1.,4.,0.5,8.,3.24984e-06,4.26545e-06,0.977641
257,513,131073,1.,4.,0.5,8.,8.1249e-07,1.01561e-06,0.977641
513,1025,131073,1.,4.,0.5,8.,2.03124e-07,2.03124e-07,0.977641
