n,r,m,eps,tau_star,theta,kappa,error_inf,error_star,W_N^M
5,9,262145,1.,8.,0.5,-0.8,0.0110927,0.0146097,0.980105
9,17,262145,1.,8.,0.5,-0.8,0.00264981,0.00351696,0.979649
17,33,262145,1.,8.,0.5,-0.8,0.000662968,0.000879431,0.979525
33,65,262145,1.,8.,0.5,-0.8,0.000164973,0.000216463,0.979494
65,129,262145,1.,8.,0.5,-0.8,4.11945e-05,5.149e-05,0.979486
129,257,262145,1.,8.,0.5,-0.8,1.02975e-05,1.02975e-05,0.979484
