n,m,eps,tau_star,theta,error_inf,omega,W_N^M,isoparam0
5,2049,0.5,2.,0.5,0.00787944,0.0558031,0.852968,0.
9,2049,0.5,2.,0.5,0.00192913,0.0293097,0.852197,0.
17,2049,0.5,2.,0.5,0.000479822,0.0149646,0.852002,0.
33,2049,0.5,2.,0.5,0.000119803,0.00755458,0.851953,0.
65,2049,0.5,2.,0.5,2.99413e-05,0.00379472,0.851941,0.
