n,m,r,eps,tau_star,theta,kappa,error_inf,error_star,W_N^M
8193,9,17,1.,4.,0.5,1.,0.0151193,0.0201483,0.98569
8193,17,33,1.,4.,0.5,1.,0.0037757,0.00502898,0.970571
8193,33,65,1.,4.,0.5,1.,0.000943878,0.00125328,0.966795
8193,65,129,1.,4.,0.5,1.,0.000235742,0.000309402,0.965851
8193,129,257,1.,4.,0.5,1.,5.89299e-05,7.36598e-05,0.965616
8193,257,513,1.,4.,0.5,1.,1.47299e-05,1.47299e-05,0.965557
