n,r,m,eps,tau_star,theta,kappa,error_inf,error_star,W_N^M
17,33,131073,1.,4.,0.5,64.,0.000784097,0.00107134,0.981077
33,65,131073,1.,4.,0.5,64.,0.000214167,0.000287239,0.981079
65,129,131073,1.,4.,0.5,64.,5.49233e-05,7.30722e-05,0.981079
129,257,131073,1.,4.,0.5,64.,1.3822e-05,1.81489e-05,0.981079
257,513,131073,1.,4.,0.5,64.,3.46127e-06,4.32695e-06,0.981079
513,1025,131073,1.,4.,0.5,64.,8.6568e-07,8.6568e-07,0.981079
